date,price
2025-11-15,2550.0
2025-11-18,2600.0
2025-11-19,2500.0
2025-11-22,2570.0
2025-11-24,2560.0
2025-11-29,2500.0
2025-12-04,2450.0
2025-12-05,2400.0
2025-12-09,2440.0
2025-12-10,2450.0
2025-12-11,2425.0
2025-12-13,2400.0
2025-12-15,2450.0
2025-12-16,2425.0
2025-12-17,2420.0
2025-12-20,2450.0
2025-12-22,2450.0
2025-12-23,2480.0
2025-12-26,2425.0
2025-12-29,2480.0
2025-12-30,2500.0
2025-12-31,2450.0
2026-01-01,2450.0
2026-01-02,2500.0
2026-01-05,2500.0
2026-01-06,2400.0
2026-01-07,2500.0
2026-01-08,2500.0
2026-01-09,2400.0
2026-01-12,2550.0
2026-01-13,2450.0
2026-01-15,2500.0
2026-01-16,2500.0
2026-01-17,2470.0
2026-01-19,2500.0
2026-01-20,2500.0
2026-01-21,2500.0
2026-01-22,2500.0
2026-01-23,2500.0
2026-01-24,2500.0
2026-01-27,2500.0
2026-01-28,2500.0
2026-01-29,2500.0
2026-01-30,2500.0
2026-02-02,2500.0
2026-02-05,2460.0
2026-02-07,2500.0
2026-02-09,2450.0
2026-02-10,2400.0
2026-02-11,2400.0
2026-02-12,2400.0
2026-02-14,2300.0
2026-02-17,2400.0
2026-02-18,2250.0
2026-02-20,2300.0
2026-02-21,2250.0
2026-02-23,2100.0
2026-02-24,2150.0
2026-02-25,2100.0
2026-02-27,2200.0
2026-02-28,2175.0
2026-03-02,2200.0
2026-03-07,2200.0
2026-03-09,2200.0
2026-03-10,2200.0
2026-03-12,2200.0
2026-03-13,2100.0
2026-03-14,2150.0
2026-03-16,2150.0
2026-03-17,2175.0
2026-03-21,2225.0
2026-03-23,2000.0
2026-03-24,1950.0
2026-03-25,2000.0
2026-03-28,2050.0
2026-04-03,2225.0
2026-04-04,2100.0
2026-04-06,2100.0
2026-04-07,2050.0
2026-04-08,2100.0
2026-04-10,2100.0
2026-04-11,2000.0
2026-04-13,2050.0
2026-04-15,2020.0
2026-04-17,2100.0
2026-04-18,2050.0
2026-04-20,2100.0
2026-04-21,2100.0
2026-04-23,2150.0
2026-04-24,2150.0
2026-04-25,2250.0
2026-04-27,2200.0
2026-04-29,2200.0
2026-05-02,2250.0
2026-05-05,2200.0
2026-05-06,2215.0
2026-05-07,2200.0
2026-05-08,2200.0
2026-05-09,2100.0
2026-05-11,2150.0
2026-05-13,2200.0
2026-05-14,2200.0
2026-05-18,2200.0
2026-05-19,2125.0
2026-05-22,2200.0
2026-05-25,2200.0
2026-05-26,2200.0
2026-05-27,2200.0
2026-05-28,2200.0
2026-05-29,2200.0
2026-05-30,2200.0
2026-06-01,2200.0
2026-06-02,2225.0
2026-06-04,2200.0
2026-06-05,2200.0
2026-06-08,2250.0
2026-06-09,2250.0
2026-06-12,2200.0
2026-06-13,2200.0
2026-06-16,2200.0
2026-06-17,2200.0
2026-06-18,2200.0
2026-06-19,2200.0
2026-06-22,2200.0
2026-06-23,2200.0
2026-06-24,2300.0
2026-06-29,2500.0
2026-07-01,2300.0
2026-07-03,2500.0
2026-07-04,2500.0
2026-07-07,2500.0
2026-07-08,2500.0
2026-07-10,2400.0
2026-07-11,2500.0
2026-07-14,2400.0
2026-07-15,2400.0
2026-07-18,2450.0
2026-07-20,2500.0
2026-07-21,2400.0
2026-07-22,2500.0
2026-07-23,2500.0
2026-07-27,2550.0
2026-07-29,2500.0
2026-07-30,2600.0
2026-07-31,2600.0
2026-08-01,2600.0
2026-08-03,2500.0
2026-08-04,2600.0
2026-08-05,2600.0
2026-08-10,2650.0
2026-08-11,2700.0
2026-08-12,2600.0
2026-08-13,2700.0
2026-08-14,2690.0
2026-08-18,2550.0
2026-08-19,2575.0
2026-08-20,2500.0
2026-08-21,2600.0
2026-08-25,2600.0
2026-08-27,2550.0
2026-09-08,2600.0
2026-09-12,2650.0
2026-09-14,2600.0
2026-09-15,2475.0
2026-09-16,2700.0
2026-09-18,2700.0
2026-09-19,2725.0
2026-09-21,2700.0
2026-09-22,2700.0
2026-09-23,2750.0
