date,price
2025-01-02,2850.0
2025-01-03,2900.0
2025-01-04,2850.0
2025-01-06,2900.0
2025-01-07,2850.0
2025-01-08,2900.0
2025-01-09,2950.0
2025-01-10,3000.0
2025-01-11,2900.0
2025-01-17,3000.0
2025-01-18,2950.0
2025-01-20,3000.0
2025-01-21,2950.0
2025-01-23,3000.0
2025-01-24,2950.0
2025-01-27,2825.0
2025-01-28,2950.0
2025-01-29,2850.0
2025-01-31,2850.0
2025-02-01,2790.0
2025-02-04,2800.0
2025-02-06,2900.0
2025-02-07,2900.0
2025-02-08,2800.0
2025-02-10,2900.0
2025-02-11,2900.0
2025-02-12,2875.0
2025-02-13,2800.0
2025-02-14,2900.0
2025-02-15,2925.0
2025-02-20,2900.0
2025-02-21,3060.0
2025-02-22,2900.0
2025-02-24,3000.0
2025-02-25,2852.0
2025-02-27,2750.0
2025-02-28,2440.0
2025-03-01,2500.0
2025-03-03,2400.0
2025-03-05,2275.0
2025-03-06,2300.0
2025-03-07,2350.0
2025-03-08,2350.0
2025-03-10,2400.0
2025-03-11,2400.0
2025-03-15,2350.0
2025-03-17,2350.0
2025-03-20,2350.0
2025-03-21,2280.0
2025-03-22,2260.0
2025-03-24,2390.0
2025-04-01,2300.0
2025-04-05,2260.0
2025-04-07,2340.0
2025-04-10,2150.0
2025-04-18,2150.0
2025-04-19,2200.0
2025-05-01,2420.0
2025-05-03,2400.0
2025-05-06,2400.0
2025-05-07,2400.0
2025-05-08,2400.0
2025-05-09,2400.0
2025-05-10,2250.0
2025-05-12,2250.0
2025-05-13,2250.0
2025-05-14,2250.0
2025-05-15,2400.0
2025-05-16,2400.0
2025-05-17,2400.0
2025-05-23,2530.0
2025-05-24,2400.0
2025-05-28,2275.0
2025-05-29,2300.0
2025-05-30,2430.0
2025-05-31,2280.0
2025-06-02,2400.0
2025-06-03,2425.0
2025-06-14,2400.0
2025-06-16,2490.0
2025-06-17,2480.0
2025-06-18,2450.0
2025-06-20,2460.0
2025-06-21,2300.0
2025-06-23,2500.0
2025-06-24,2320.0
2025-06-25,2320.0
2025-06-26,2450.0
2025-06-27,2250.0
2025-06-28,2450.0
2025-07-02,2250.0
2025-07-04,2530.0
2025-07-05,2500.0
2025-07-07,2500.0
2025-07-09,2500.0
2025-07-10,2490.0
2025-07-11,2490.0
2025-07-14,2480.0
2025-07-16,2480.0
2025-07-19,2500.0
2025-07-21,2490.0
2025-07-22,2500.0
2025-07-23,2600.0
2025-07-24,2500.0
2025-07-25,2500.0
2025-07-26,2500.0
2025-07-29,2525.0
2025-08-01,2650.0
2025-08-02,2710.0
2025-08-05,2600.0
2025-08-06,2600.0
2025-08-07,2600.0
2025-08-08,2600.0
2025-08-20,2625.0
2025-08-21,2660.0
2025-08-22,2600.0
2025-08-23,2625.0
2025-08-25,2580.0
2025-08-27,2600.0
2025-08-29,2550.0
2025-08-30,2600.0
2025-09-01,2600.0
2025-09-02,2625.0
2025-09-05,2600.0
2025-09-06,2700.0
2025-09-08,2700.0
2025-09-09,2700.0
2025-09-12,2600.0
2025-09-13,2610.0
2025-09-15,2610.0
2025-09-17,2600.0
2025-09-18,2605.0
2025-09-19,2610.0
2025-09-20,2600.0
2025-09-22,2550.0
2025-09-24,2550.0
2025-09-25,2575.0
2025-09-26,2525.0
2025-09-27,2500.0
2025-10-01,2550.0
2025-10-03,2550.0
2025-10-06,2550.0
2025-10-07,2550.0
2025-10-08,2500.0
2025-10-09,2500.0
2025-10-13,2425.0
2025-10-14,2450.0
2025-10-16,2400.0
2025-10-17,2500.0
2025-10-27,2520.0
2025-10-28,2500.0
2025-10-31,2500.0
2025-11-01,2400.0
2025-11-04,2550.0
2025-11-05,2525.0
2025-11-06,2400.0
2025-11-09,2500.0
2025-11-11,2600.0
2025-11-12,2600.0
2026-01-10,2475.0
