date,price
2025-01-02,3070.0
2025-01-03,3085.0
2025-01-04,3050.0
2025-01-06,3057.0
2025-01-07,3087.0
2025-01-09,3120.0
2025-01-10,3100.0
2025-01-15,3122.0
2025-01-16,3150.0
2025-01-17,3105.0
2025-01-20,3147.0
2025-01-21,3110.0
2025-01-22,3070.0
2025-01-24,3095.0
2025-01-25,3100.0
2025-01-27,3090.0
2025-01-28,3122.0
2025-01-29,3090.0
2025-01-30,3050.0
2025-01-31,3015.0
2025-02-01,3027.0
2025-02-03,3040.0
2025-02-04,3042.0
2025-02-05,3012.0
2025-02-06,3030.0
2025-02-07,3087.0
2025-02-08,3110.0
2025-02-10,3025.0
2025-02-11,3045.0
2025-02-12,3050.0
2025-02-13,3137.0
2025-02-14,3167.0
2025-02-17,3142.0
2025-02-18,3155.0
2025-02-19,3160.0
2025-02-20,3047.0
2025-02-21,3115.0
2025-02-22,3115.0
2025-02-24,3107.0
2025-02-25,3085.0
2025-02-27,3007.0
2025-02-28,2950.0
2025-03-01,2875.0
2025-03-03,2875.0
2025-03-04,2745.0
2025-03-05,2690.0
2025-03-06,2830.0
2025-03-07,2760.0
2025-03-08,2845.0
2025-03-10,2790.0
2025-03-11,2800.0
2025-03-12,2605.0
2025-03-17,2637.0
2025-03-18,2670.0
2025-03-19,2640.0
2025-03-20,2647.0
2025-03-21,2642.0
2025-03-22,2640.0
2025-03-24,2577.0
2025-03-25,2637.0
2025-03-26,2635.0
2025-03-27,2630.0
2025-03-28,2587.0
2025-03-29,2622.0
2025-04-01,2562.0
2025-04-02,2810.0
2025-04-03,2742.0
2025-04-04,2665.0
2025-04-05,2687.0
2025-04-07,2837.0
2025-04-08,2692.0
2025-04-09,2837.0
2025-04-11,2740.0
2025-04-12,2660.0
2025-04-15,2765.0
2025-04-16,2585.0
2025-04-17,2547.0
2025-04-19,2812.0
2025-04-21,2662.0
2025-04-22,2577.0
2025-04-23,2600.0
2025-04-25,2662.0
2025-04-26,2590.0
2025-04-28,2527.0
2025-04-29,2525.0
2025-04-30,2527.0
2025-05-01,2517.0
2025-05-02,2542.0
2025-05-03,2747.0
2025-05-05,2587.0
2025-05-06,2587.0
2025-05-07,2525.0
2025-05-08,2537.0
2025-05-09,2540.0
2025-05-10,2537.0
2025-05-12,2525.0
2025-05-13,2592.0
2025-05-14,2575.0
2025-05-15,2587.0
2025-05-16,2610.0
2025-05-17,2660.0
2025-05-19,2637.0
2025-05-20,2640.0
2025-05-21,2570.0
2025-05-22,2600.0
2025-05-23,2602.0
2025-05-26,2617.0
2025-05-27,2610.0
2025-05-28,2632.0
2025-05-29,2600.0
2025-05-30,2640.0
2025-05-31,2702.0
2025-06-02,2585.0
2025-06-03,2595.0
2025-06-04,2577.0
2025-06-05,2550.0
2025-06-06,2547.0
2025-06-09,2557.0
2025-06-10,2537.0
2025-06-11,2557.0
2025-06-12,2525.0
2025-06-13,2550.0
2025-06-14,2530.0
2025-06-16,2570.0
2025-06-17,2500.0
2025-06-19,2507.0
2025-06-20,2537.0
2025-06-21,2507.0
2025-06-24,2482.0
2025-06-25,2475.0
2025-06-27,2480.0
2025-06-28,2475.0
2025-07-01,2525.0
2025-07-02,2495.0
2025-07-04,2547.0
2025-07-07,2495.0
2025-07-08,2535.0
2025-07-09,2485.0
2025-07-10,2540.0
2025-07-11,2505.0
2025-07-12,2512.0
2025-07-14,2542.0
2025-07-15,2552.0
2025-07-16,2575.0
2025-07-17,2557.0
2025-07-18,2540.0
2025-07-22,2540.0
2025-07-24,2560.0
2025-07-26,2567.0
2025-07-29,2605.0
2025-07-30,2647.0
2025-07-31,2640.0
2025-08-01,2657.0
2025-08-02,2600.0
2025-08-04,2707.0
2025-08-05,2680.0
2025-08-06,2680.0
2025-08-07,2687.0
2025-08-08,2680.0
2025-08-11,2682.0
2025-08-12,2702.0
2025-08-13,2682.0
2025-08-14,2705.0
2025-08-18,2692.0
2025-08-19,2695.0
2025-08-20,2707.0
2025-08-21,2682.0
2025-08-22,2682.0
2025-08-26,2697.0
2025-08-28,2697.0
2025-08-29,2660.0
2025-08-30,2660.0
2025-09-01,2662.0
2025-09-02,2702.0
2025-09-03,2707.0
2025-09-04,2685.0
2025-09-08,2660.0
2025-09-09,2685.0
2025-09-10,2740.0
2025-09-11,2737.0
2025-09-12,2727.0
2025-09-13,2737.0
2025-09-16,2730.0
2025-09-17,2732.0
2025-09-18,2722.0
2025-09-19,2722.0
2025-09-20,2677.0
2025-09-22,2700.0
2025-09-23,2720.0
2025-09-24,2707.0
2025-09-25,2610.0
2025-09-26,2697.0
2025-09-27,2655.0
2025-09-30,2682.0
2025-10-01,2682.0
2025-10-03,2665.0
2025-10-04,2680.0
2025-10-06,2660.0
2025-10-07,2650.0
2025-10-08,2595.0
2025-10-09,2675.0
2025-10-10,2577.0
2025-10-11,2657.0
2025-10-13,2612.0
2025-10-14,2642.0
2025-10-15,2590.0
2025-10-16,2615.0
2025-10-17,2592.0
2025-10-27,2570.0
2025-10-28,2612.0
2025-10-29,2572.0
2025-10-30,2535.0
2025-11-01,2585.0
2025-11-03,2600.0
2025-11-04,2602.0
2025-11-07,2600.0
2025-11-08,2615.0
2025-11-10,2620.0
2025-11-11,2617.0
2025-11-12,2585.0
2025-11-13,2622.0
2025-11-14,2607.0
2025-11-15,2590.0
2025-11-17,2570.0
2025-11-18,2610.0
2025-11-19,2617.0
2025-11-20,2572.0
2025-11-21,2580.0
2025-11-22,2562.0
2025-11-24,2570.0
2025-11-25,2585.0
2025-11-28,2588.0
2025-11-29,2550.0
2025-12-01,2573.0
2025-12-02,2560.0
2025-12-03,2570.0
2025-12-04,2560.0
2025-12-05,2593.0
2025-12-06,2538.0
2025-12-08,2552.0
2025-12-09,2553.0
2025-12-10,2548.0
2025-12-11,2558.0
2025-12-12,2538.0
2025-12-13,2548.0
2025-12-15,2540.0
2025-12-16,2578.0
2025-12-17,2578.0
2025-12-18,2565.0
2025-12-19,2528.0
2025-12-20,2550.0
2025-12-22,2555.0
2025-12-23,2545.0
2025-12-24,2540.0
2025-12-26,2565.0
2025-12-27,2585.0
2025-12-29,2538.0
2025-12-30,2583.0
2025-12-31,2580.0
2026-01-01,2583.0
2026-01-02,2623.0
2026-01-03,2570.0
2026-01-05,2605.0
2026-01-06,2643.0
2026-01-07,2613.0
2026-01-08,2620.0
2026-01-09,2623.0
2026-01-10,2628.0
2026-01-12,2625.0
2026-01-13,2630.0
2026-01-16,2643.0
2026-01-17,2648.0
2026-01-19,2640.0
2026-01-20,2663.0
2026-01-21,2678.0
2026-01-22,2650.0
2026-01-23,2640.0
2026-01-24,2648.0
2026-01-29,2600.0
2026-01-31,2588.0
2026-02-02,2575.0
2026-02-03,2603.0
2026-02-04,2600.0
2026-02-05,2565.0
2026-02-06,2565.0
2026-02-07,2583.0
2026-02-09,2585.0
2026-02-10,2548.0
2026-02-11,2565.0
2026-02-12,2538.0
2026-02-13,2565.0
2026-02-14,2530.0
2026-02-16,2525.0
2026-02-17,2510.0
2026-02-18,2535.0
2026-02-19,2613.0
2026-02-20,2525.0
2026-02-21,2538.0
2026-02-23,2528.0
2026-02-24,2520.0
2026-02-25,2490.0
2026-02-26,2483.0
2026-02-27,2463.0
2026-02-28,2410.0
2026-03-05,2375.0
2026-03-06,2388.0
2026-03-07,2398.0
2026-03-09,2485.0
2026-03-10,2380.0
2026-03-11,2492.0
2026-03-12,2403.0
2026-03-13,2502.0
