date,price
2025-01-02,3000.0
2025-01-03,2950.0
2025-01-04,2950.0
2025-01-06,3125.0
2025-01-07,3000.0
2025-01-08,2900.0
2025-01-09,3050.0
2025-01-10,3000.0
2025-01-11,2900.0
2025-01-13,2950.0
2025-01-15,2850.0
2025-01-16,3000.0
2025-01-18,2950.0
2025-01-20,2950.0
2025-01-21,3000.0
2025-01-22,2900.0
2025-01-23,2950.0
2025-01-24,2950.0
2025-01-25,2950.0
2025-01-27,2950.0
2025-01-28,2950.0
2025-01-29,3000.0
2025-01-30,3000.0
2025-01-31,2950.0
2025-02-01,3000.0
2025-02-03,3100.0
2025-02-04,3050.0
2025-02-05,3000.0
2025-02-06,2950.0
2025-02-07,2950.0
2025-02-08,2900.0
2025-02-10,2900.0
2025-02-11,3050.0
2025-02-12,2900.0
2025-02-13,3100.0
2025-02-14,3050.0
2025-02-15,2850.0
2025-02-17,2950.0
2025-02-18,3050.0
2025-02-19,3100.0
2025-02-20,2900.0
2025-02-21,2950.0
2025-02-22,3000.0
2025-02-24,3050.0
2025-02-25,2850.0
2025-02-27,2750.0
2025-02-28,2550.0
2025-03-01,2600.0
2025-03-03,2650.0
2025-03-04,2550.0
2025-03-05,2525.0
2025-03-06,2450.0
2025-03-07,2450.0
2025-03-08,2575.0
2025-03-10,2475.0
2025-03-11,2525.0
2025-03-12,2525.0
2025-03-13,2400.0
2025-03-15,2400.0
2025-03-17,2450.0
2025-03-18,2450.0
2025-03-19,2460.0
2025-03-20,2450.0
2025-03-21,2450.0
2025-03-22,2450.0
2025-03-24,2400.0
2025-03-25,2400.0
2025-04-02,2350.0
2025-04-03,2325.0
2025-04-04,2620.0
2025-04-05,2325.0
2025-04-07,2340.0
2025-04-08,2325.0
2025-04-09,2300.0
2025-04-11,2425.0
2025-04-14,2440.0
2025-04-15,2400.0
2025-04-16,2425.0
2025-04-17,2425.0
2025-04-18,2450.0
2025-04-19,2425.0
2025-04-21,2475.0
2025-04-22,2425.0
2025-04-23,2425.0
2025-04-24,2450.0
2025-04-25,2450.0
2025-04-26,2450.0
2025-04-28,2425.0
2025-04-29,2400.0
2025-04-30,2425.0
2025-05-01,2450.0
2025-05-02,2425.0
2025-05-03,2450.0
2025-05-05,2425.0
2025-05-06,2425.0
2025-05-07,2425.0
2025-05-08,2475.0
2025-05-09,2425.0
2025-05-10,2425.0
2025-05-12,2450.0
2025-05-13,2490.0
2025-05-14,2475.0
2025-05-15,2450.0
2025-05-16,2475.0
2025-05-17,2475.0
2025-05-19,2430.0
2025-05-20,2450.0
2025-05-21,2400.0
2025-05-22,2475.0
2025-05-23,2475.0
2025-05-24,2550.0
2025-05-26,2475.0
2025-05-27,2450.0
2025-05-28,2450.0
2025-05-29,2480.0
2025-05-30,2480.0
2025-05-31,2425.0
2025-06-02,2375.0
2025-06-03,2400.0
2025-06-04,2400.0
2025-06-05,2400.0
2025-06-06,2350.0
2025-06-10,2400.0
2025-06-11,2460.0
2025-06-12,2475.0
2025-06-13,2475.0
2025-06-14,2460.0
2025-06-16,2460.0
2025-06-17,2450.0
2025-06-18,2425.0
2025-06-19,2460.0
2025-06-20,2500.0
2025-06-21,2460.0
2025-06-23,2475.0
2025-06-24,2475.0
2025-06-25,2520.0
2025-06-26,2500.0
2025-06-28,2450.0
2025-06-30,2500.0
2025-07-01,2500.0
2025-07-02,2500.0
2025-07-04,2525.0
2025-07-05,2550.0
2025-07-07,2575.0
2025-07-08,2550.0
2025-07-09,2600.0
2025-07-10,2550.0
2025-07-11,2535.0
2025-07-12,2540.0
2025-07-14,2525.0
2025-07-15,2550.0
2025-07-16,2525.0
2025-07-17,2540.0
2025-07-18,2575.0
2025-07-19,2575.0
2025-07-21,2600.0
2025-07-22,2600.0
2025-07-23,2610.0
2025-07-24,2625.0
2025-07-25,2625.0
2025-07-26,2600.0
2025-07-28,2625.0
2025-07-29,2600.0
2025-07-30,2600.0
2025-07-31,2600.0
2025-08-01,2600.0
2025-08-02,2600.0
2025-08-04,2600.0
2025-08-05,2600.0
2025-08-06,2625.0
2025-08-07,2650.0
2025-08-08,2630.0
2025-08-11,2640.0
2025-08-12,2650.0
2025-08-13,2650.0
2025-08-19,2650.0
2025-08-20,2650.0
2025-08-21,2655.0
2025-08-23,2650.0
2025-08-25,2650.0
2025-08-26,2650.0
2025-08-28,2650.0
2025-08-29,2650.0
2025-08-30,2650.0
2025-09-01,2625.0
2025-09-02,2625.0
2025-09-03,2650.0
2025-09-04,2660.0
2025-09-09,2650.0
2025-09-10,2660.0
2025-09-11,2600.0
2025-09-12,2650.0
2025-09-13,2650.0
2025-09-15,2645.0
2025-09-16,2640.0
2025-09-17,2650.0
2025-09-18,2650.0
2025-09-19,2630.0
2025-09-20,2575.0
2025-09-22,2575.0
2025-09-23,2590.0
2025-09-24,2575.0
2025-09-25,2625.0
2025-09-26,2575.0
2025-09-27,2600.0
2025-09-29,2550.0
2025-09-30,2600.0
2025-10-01,2575.0
2025-10-03,2600.0
2025-10-04,2575.0
2025-10-06,2600.0
2025-10-07,2600.0
2025-10-08,2590.0
2025-10-09,2590.0
2025-10-10,2575.0
2025-10-11,2525.0
2025-10-13,2575.0
2025-10-14,2575.0
2025-10-15,2575.0
2025-10-16,2550.0
2025-10-27,2575.0
2025-10-28,2575.0
2025-10-30,2590.0
2025-10-31,2600.0
2025-11-01,2590.0
2025-11-03,2675.0
2025-11-04,2700.0
2025-11-05,2640.0
