date,price
2025-01-01,3075.0
2025-01-02,3015.0
2025-01-03,3105.0
2025-01-04,3025.0
2025-01-06,3005.0
2025-01-07,3050.0
2025-01-08,3025.0
2025-01-09,3025.0
2025-01-10,3100.0
2025-01-11,3100.0
2025-01-13,3150.0
2025-01-15,3005.0
2025-01-16,3100.0
2025-01-17,3045.0
2025-01-18,3075.0
2025-01-24,3025.0
2025-01-25,3155.0
2025-01-27,3050.0
2025-01-28,3075.0
2025-01-29,3050.0
2025-01-30,3025.0
2025-01-31,3075.0
2025-02-01,2955.0
2025-02-03,3005.0
2025-02-04,3025.0
2025-02-05,3025.0
2025-02-06,3050.0
2025-02-07,3075.0
2025-02-10,3085.0
2025-02-11,3090.0
2025-02-12,3050.0
2025-02-13,3090.0
2025-02-14,3075.0
2025-02-15,3105.0
2025-02-17,3150.0
2025-02-18,3095.0
2025-02-19,3150.0
2025-02-20,3075.0
2025-02-21,3025.0
2025-02-22,3000.0
2025-02-24,2875.0
2025-02-25,2800.0
2025-02-27,2700.0
2025-02-28,2575.0
2025-03-01,2550.0
2025-03-03,2545.0
2025-03-04,2540.0
2025-03-05,2550.0
2025-03-06,2550.0
2025-03-07,2555.0
2025-03-08,2550.0
2025-03-10,2540.0
2025-03-11,2515.0
2025-03-12,2505.0
2025-03-17,2515.0
2025-03-18,2500.0
2025-03-19,2505.0
2025-03-20,2525.0
2025-03-22,2505.0
2025-03-24,2495.0
2025-03-25,2510.0
2025-03-26,2505.0
2025-03-27,2510.0
2025-04-02,2515.0
2025-04-03,2515.0
2025-04-04,2505.0
2025-04-05,2500.0
2025-04-07,2495.0
2025-04-08,2525.0
2025-04-09,2505.0
2025-04-10,2515.0
2025-04-11,2510.0
2025-04-14,2485.0
2025-04-15,2475.0
2025-04-16,2465.0
2025-04-17,2475.0
2025-04-19,2475.0
2025-04-21,2490.0
2025-04-22,2505.0
2025-04-23,2505.0
2025-04-24,2505.0
2025-04-26,2470.0
2025-04-28,2485.0
2025-04-29,2495.0
2025-04-30,2485.0
2025-05-01,2540.0
2025-05-02,2515.0
2025-05-03,2540.0
2025-05-05,2540.0
2025-05-06,2525.0
2025-05-07,2550.0
2025-05-08,2505.0
2025-05-09,2520.0
2025-05-10,2540.0
2025-05-12,2505.0
2025-05-13,2515.0
2025-05-15,2525.0
2025-05-16,2495.0
2025-05-17,2525.0
2025-05-19,2525.0
2025-05-20,2525.0
2025-05-21,2550.0
2025-05-22,2505.0
2025-05-26,2525.0
2025-05-27,2530.0
2025-05-28,2515.0
2025-05-29,2505.0
2025-05-30,2525.0
2025-05-31,2525.0
2025-06-02,2510.0
2025-06-03,2515.0
2025-06-04,2525.0
2025-06-05,2515.0
2025-06-09,2525.0
2025-06-10,2515.0
2025-06-11,2505.0
2025-06-13,2505.0
2025-06-14,2515.0
2025-06-17,2505.0
2025-06-18,2505.0
2025-06-19,2505.0
2025-06-20,2505.0
2025-06-21,2510.0
2025-06-23,2515.0
2025-06-24,2505.0
2025-06-25,2525.0
2025-06-26,2505.0
2025-06-27,2500.0
2025-06-28,2505.0
2025-06-30,2525.0
2025-07-01,2515.0
2025-07-02,2515.0
2025-07-03,2525.0
2025-07-04,2525.0
2025-07-05,2515.0
2025-07-07,2525.0
2025-07-08,2510.0
2025-07-09,2525.0
2025-07-10,2525.0
2025-07-11,2525.0
2025-07-12,2535.0
2025-07-14,2535.0
2025-07-15,2525.0
2025-07-16,2530.0
2025-07-17,2525.0
2025-07-18,2575.0
2025-07-19,2535.0
2025-07-21,2550.0
2025-07-22,2550.0
2025-07-23,2555.0
2025-07-24,2540.0
2025-07-25,2505.0
2025-07-26,2505.0
2025-07-29,2540.0
2025-07-30,2550.0
2025-08-01,2505.0
2025-08-02,2505.0
2025-08-06,2505.0
2025-08-07,2625.0
2025-08-08,2505.0
2025-08-18,2505.0
2025-08-19,2455.0
2025-08-22,2540.0
2025-08-23,2525.0
2025-08-25,2530.0
2025-08-26,2535.0
