date,price
2025-01-28,3150.0
2025-02-03,3100.0
2025-02-06,3050.0
2025-02-10,3175.0
2025-02-12,3050.0
2025-02-14,3050.0
2025-02-15,3100.0
2025-02-25,3200.0
2025-02-28,3000.0
2025-03-06,2950.0
2025-03-07,2800.0
2025-03-10,2750.0
2025-03-12,2650.0
2025-03-20,2700.0
2025-03-22,2625.0
2025-03-24,2550.0
2025-03-25,2550.0
2025-04-02,2550.0
2025-04-04,2550.0
2025-04-08,2550.0
2025-04-09,2450.0
2025-04-10,2450.0
2025-04-15,2400.0
2025-04-16,2450.0
2025-04-19,2500.0
2025-04-21,2500.0
2025-04-23,2550.0
2025-04-24,2550.0
2025-04-25,2550.0
2025-04-26,2550.0
2025-05-01,2500.0
2025-05-08,2500.0
2025-05-10,2500.0
2025-05-12,2500.0
2025-05-14,2500.0
2025-05-15,2600.0
2025-05-19,2475.0
2025-05-20,2500.0
2025-05-21,2500.0
2025-05-22,2475.0
2025-05-23,2500.0
2025-05-24,2475.0
2025-05-27,2450.0
2025-05-29,2460.0
2025-05-30,2460.0
2025-05-31,2460.0
2025-06-05,2450.0
2025-06-06,2450.0
2025-06-07,2450.0
2025-06-11,2460.0
2025-06-12,2475.0
2025-06-13,2500.0
2025-06-20,2475.0
2025-06-21,2450.0
2025-06-23,2430.0
2025-06-28,2450.0
2025-06-30,2450.0
2025-07-01,2450.0
2025-07-02,2450.0
2025-07-05,2450.0
2025-07-09,2500.0
2025-07-15,2575.0
2025-07-16,2575.0
2025-07-17,2575.0
2025-07-18,2575.0
2025-07-19,2600.0
2025-07-21,3850.0
2025-07-23,2610.0
2025-07-24,2625.0
2025-07-25,2625.0
2025-07-26,2650.0
2025-07-28,2605.0
2025-07-29,2625.0
2025-07-30,2650.0
2025-07-31,2650.0
2025-08-01,2650.0
2025-08-02,2650.0
2025-08-04,2650.0
2025-08-05,3840.0
2025-08-06,2650.0
2025-08-08,2660.0
2025-08-12,2655.0
2025-08-14,2650.0
2025-08-18,2640.0
2025-08-19,2650.0
2025-08-22,2640.0
2025-08-25,2645.0
2025-08-26,2650.0
2025-08-28,2650.0
2025-08-29,2635.0
2025-08-30,2640.0
2025-09-01,2700.0
2025-09-02,2675.0
2025-09-03,2675.0
2025-09-04,2630.0
2025-09-08,2675.0
2025-09-09,2675.0
2025-09-11,2700.0
2025-09-12,2655.0
2025-09-15,2675.0
2025-09-16,2650.0
2025-09-17,2675.0
2025-09-18,2650.0
2025-09-19,2650.0
2025-09-23,2650.0
2025-09-26,2650.0
2025-10-03,2575.0
2025-10-04,2600.0
2025-10-07,2625.0
2025-11-04,2550.0
2025-11-07,2540.0
2026-01-06,2600.0
2026-01-20,2650.0
2026-06-08,2325.0
2026-07-01,2555.0
2026-07-21,2570.0
2026-08-03,2570.0
2026-08-05,2565.0
2026-08-29,2615.0
2026-09-02,2680.0
2026-09-10,2710.0
2026-09-16,2725.0
2026-09-21,2675.0
