date,price
2025-02-01,3000.0
2025-02-07,2900.0
2025-02-10,2975.0
2025-02-13,2975.0
2025-02-19,3050.0
2025-02-27,3150.0
2025-02-28,2900.0
2025-03-08,3275.0
2025-03-15,2675.0
2025-03-17,2700.0
2025-03-19,2650.0
2025-03-21,2625.0
2025-03-22,2550.0
2025-03-24,2700.0
2025-03-25,2625.0
2025-03-26,2675.0
2025-04-03,2525.0
2025-04-08,2525.0
2025-04-09,2525.0
2025-04-10,2550.0
2025-04-14,2525.0
2025-04-15,2550.0
2025-04-16,2550.0
2025-04-19,2525.0
2025-04-20,2525.0
2025-04-23,2500.0
2025-04-24,2500.0
2025-04-25,2515.0
2025-04-26,2500.0
2025-04-29,2525.0
2025-05-01,2535.0
2025-05-03,2535.0
2025-05-09,2525.0
2025-05-10,2525.0
2025-05-14,2550.0
2025-05-15,2550.0
2025-05-19,2550.0
2025-05-20,2540.0
2025-05-21,2510.0
2025-05-22,2530.0
2025-05-23,2475.0
2025-05-24,2525.0
2025-05-27,2465.0
2025-05-28,2460.0
2025-05-29,2500.0
2025-05-30,2510.0
2025-05-31,2510.0
2025-06-02,2525.0
2025-06-03,2515.0
2025-06-05,2500.0
2025-06-06,2525.0
2025-06-13,2500.0
2025-06-19,2450.0
2025-06-20,2450.0
2025-06-23,2425.0
2025-06-24,2425.0
2025-06-30,2410.0
2025-07-01,2375.0
2025-07-08,2375.0
2025-07-09,2375.0
2025-07-15,2525.0
2025-07-18,2560.0
2025-07-19,2610.0
2025-07-23,2600.0
2025-07-24,2625.0
2025-07-25,2575.0
2025-07-26,2650.0
2025-07-28,2675.0
2025-07-30,2650.0
2025-07-31,2700.0
2025-08-01,2700.0
2025-08-02,2750.0
2025-08-04,2755.0
2025-08-05,2700.0
2025-08-06,2705.0
2025-08-08,2700.0
2025-08-10,2700.0
2025-08-12,2700.0
2025-08-14,2760.0
2025-08-18,2750.0
2025-08-19,2740.0
2025-08-22,2740.0
2025-08-23,2725.0
2025-08-25,2740.0
2025-08-28,2700.0
2025-08-29,2725.0
2025-08-30,2725.0
2025-09-01,2720.0
2025-09-02,2725.0
2025-09-04,2700.0
2025-09-08,2720.0
2025-09-09,2750.0
2025-09-11,2685.0
2025-09-13,2760.0
2025-09-15,2725.0
2025-09-17,2725.0
2025-09-18,2775.0
2025-09-19,2725.0
2025-09-23,2745.0
2025-09-26,2725.0
2025-10-03,2625.0
2025-10-04,2650.0
2025-10-08,2625.0
2025-10-28,2550.0
2025-10-29,2555.0
2025-11-03,2600.0
2026-01-07,2625.0
2026-02-19,2450.0
2026-03-06,2425.0
2026-04-14,2375.0
2026-04-24,2300.0
2026-05-18,2300.0
2026-05-28,2300.0
2026-06-08,2325.0
2026-06-09,2300.0
2026-06-11,2320.0
2026-06-15,2300.0
2026-06-16,2300.0
2026-06-17,2300.0
2026-06-30,2550.0
2026-07-01,2450.0
2026-08-04,2675.0
2026-08-07,2600.0
2026-08-10,2500.0
2026-08-17,2550.0
2026-08-20,2575.0
2026-08-21,2575.0
2026-08-24,2550.0
2026-08-26,2575.0
2026-08-27,2625.0
2026-08-31,2600.0
2026-09-09,2800.0
2026-09-11,2825.0
2026-09-16,2975.0
2026-09-18,2950.0
2026-09-19,2825.0
