date,price
2025-01-02,2500.0
2025-01-03,2490.0
2025-01-04,2560.0
2025-01-06,2510.0
2025-01-08,2515.0
2025-01-09,2500.0
2025-01-10,2510.0
2025-01-11,2515.0
2025-01-13,2480.0
2025-01-16,2520.0
2025-01-17,2490.0
2025-01-20,2505.0
2025-01-21,2490.0
2025-01-23,2495.0
2025-01-24,2505.0
2025-01-25,2495.0
2025-01-27,2500.0
2025-01-28,2500.0
2025-01-29,2495.0
2025-01-30,2510.0
2025-01-31,2515.0
2025-02-01,2530.0
2025-02-03,2510.0
2025-02-04,2500.0
2025-02-05,2495.0
2025-02-06,2505.0
2025-02-07,2500.0
2025-02-08,2500.0
2025-02-10,2510.0
2025-02-11,2500.0
2025-02-12,2495.0
2025-02-13,2505.0
2025-02-14,2515.0
2025-02-15,2505.0
2025-02-17,2495.0
2025-02-18,2505.0
2025-02-19,2540.0
2025-02-20,2520.0
2025-02-22,2520.0
2025-02-24,2520.0
2025-02-25,2510.0
2025-02-27,2700.0
2025-02-28,2580.0
2025-03-01,2550.0
2025-03-03,2550.0
2025-03-04,2610.0
2025-03-05,2620.0
2025-03-06,2660.0
2025-03-07,2620.0
2025-03-08,2610.0
2025-03-10,2590.0
2025-03-11,2605.0
2025-03-12,2630.0
2025-03-13,2620.0
2025-03-17,2640.0
2025-03-18,2455.0
2025-03-19,2560.0
2025-03-20,2610.0
2025-03-21,2625.0
2025-03-22,2615.0
2025-03-24,2540.0
2025-03-25,2480.0
2025-03-26,2500.0
2025-03-27,2510.0
2025-03-28,2440.0
2025-03-29,2450.0
2025-04-02,2460.0
2025-04-03,2440.0
2025-04-04,2440.0
2025-04-05,2430.0
2025-04-07,2430.0
2025-04-08,2430.0
2025-04-09,2440.0
2025-04-11,2420.0
2025-04-13,2430.0
2025-04-15,2415.0
2025-04-16,2450.0
2025-04-17,2430.0
2025-04-19,2435.0
2025-04-21,2450.0
2025-04-22,2430.0
2025-04-23,2460.0
2025-04-24,2430.0
2025-04-26,2435.0
2025-04-28,2465.0
2025-04-29,2500.0
2025-04-30,2440.0
2025-05-01,2440.0
2025-05-02,2430.0
2025-05-03,2430.0
2025-05-05,2440.0
2025-05-06,2450.0
2025-05-07,2420.0
2025-05-08,2430.0
2025-05-09,2460.0
2025-05-10,2440.0
2025-05-12,2500.0
2025-05-13,2500.0
2025-05-14,2470.0
2025-05-15,2500.0
2025-05-16,2470.0
2025-05-17,2510.0
2025-05-19,2510.0
2025-05-20,2500.0
2025-05-21,2500.0
2025-05-22,2490.0
2025-05-23,2480.0
2025-05-26,2500.0
2025-05-27,2460.0
2025-05-28,2490.0
2025-05-29,2460.0
2025-05-30,2450.0
2025-05-31,2440.0
2025-06-02,2500.0
2025-06-03,2480.0
2025-06-04,2480.0
2025-06-05,2480.0
2025-06-06,2495.0
2025-06-16,2440.0
2025-06-17,2455.0
2025-06-18,2430.0
2025-06-19,2430.0
2025-06-20,2460.0
2025-09-23,2460.0
2025-09-24,2460.0
2025-09-25,2460.0
2025-09-29,2460.0
2025-11-08,2520.0
2025-11-10,2540.0
2025-11-13,2500.0
2025-11-17,2480.0
2025-11-18,2470.0
2025-11-24,2460.0
2025-11-26,2490.0
2025-11-27,2485.0
2025-11-28,2490.0
2025-11-29,2475.0
2025-12-01,2490.0
2025-12-02,2495.0
2025-12-03,2520.0
2025-12-05,2490.0
2025-12-06,2500.0
2025-12-09,2515.0
2025-12-10,2520.0
2025-12-11,2510.0
2025-12-12,2450.0
2025-12-15,2525.0
2025-12-16,2515.0
2025-12-17,2490.0
2025-12-18,2435.0
2025-12-19,2430.0
2025-12-22,2515.0
2025-12-23,2430.0
2025-12-24,2420.0
2025-12-26,2430.0
2025-12-29,2520.0
2025-12-30,2500.0
2025-12-31,2420.0
2026-01-01,2440.0
2026-01-02,2440.0
2026-01-05,2480.0
2026-01-06,2485.0
2026-01-09,2460.0
2026-04-10,2440.0
2026-04-15,2460.0
2026-04-24,2480.0
2026-05-18,2500.0
2026-05-19,2450.0
2026-05-20,2450.0
2026-05-21,2450.0
2026-06-01,2460.0
2026-06-06,2460.0
2026-06-08,2445.0
2026-06-10,2470.0
2026-06-11,2440.0
2026-06-12,2430.0
2026-06-13,2470.0
2026-06-16,2465.0
2026-06-17,2465.0
2026-06-18,2440.0
2026-06-24,2460.0
2026-06-27,2480.0
2026-06-29,2450.0
2026-07-02,2450.0
2026-07-03,2440.0
2026-07-06,2460.0
