date,price
2025-01-03,2915.0
2025-01-04,3015.0
2025-01-06,2940.0
2025-01-07,2960.0
2025-01-08,2925.0
2025-01-09,2930.0
2025-01-10,2935.0
2025-01-11,2965.0
2025-01-15,2990.0
2025-01-16,3025.0
2025-01-20,2980.0
2025-01-21,3000.0
2025-01-22,3005.0
2025-01-23,3015.0
2025-01-27,2930.0
2025-01-28,2965.0
2025-01-29,2890.0
2025-01-30,2950.0
2025-01-31,2935.0
2025-02-04,2795.0
2025-02-05,2775.0
2025-02-06,2815.0
2025-02-07,2850.0
2025-02-11,2945.0
2025-02-12,2940.0
2025-02-13,2935.0
2025-02-14,2915.0
2025-02-15,2910.0
2025-02-17,2945.0
2025-02-18,2925.0
2025-02-19,2990.0
2025-02-20,2965.0
2025-02-21,2995.0
2025-02-22,2960.0
2025-02-24,2895.0
2025-02-25,2815.0
2025-02-27,2710.0
2025-02-28,2660.0
2025-03-01,2550.0
2025-03-03,2610.0
2025-03-04,2530.0
2025-03-06,2585.0
2025-03-07,2500.0
2025-03-08,2520.0
2025-03-10,2560.0
2025-03-11,2505.0
2025-03-12,2535.0
2025-03-13,2585.0
2025-03-15,2545.0
2025-03-17,2540.0
2025-03-18,2470.0
2025-03-19,2550.0
2025-03-20,2525.0
2025-03-21,2600.0
2025-03-22,2530.0
2025-04-01,2475.0
2025-04-02,2495.0
2025-04-03,2525.0
2025-04-04,2485.0
2025-04-05,2530.0
2025-04-07,2510.0
2025-04-08,2595.0
2025-04-09,2490.0
2025-04-10,2465.0
2025-04-12,2480.0
2025-04-14,2460.0
2025-04-15,2530.0
2025-04-16,2495.0
2025-04-17,2550.0
2025-04-18,2490.0
2025-04-21,2480.0
2025-04-22,2495.0
2025-04-23,2505.0
2025-04-24,2505.0
2025-04-25,2495.0
2025-04-28,2485.0
2025-04-29,2500.0
2025-04-30,2480.0
2025-05-01,2505.0
2025-05-02,2450.0
2025-05-03,2430.0
2025-05-05,2400.0
2025-05-06,2500.0
2025-05-07,2395.0
2025-05-08,2470.0
2025-05-09,2445.0
2025-05-10,2400.0
2025-05-12,2400.0
2025-05-13,2410.0
2025-05-14,2475.0
2025-05-15,2425.0
2025-05-16,2460.0
2025-05-17,2450.0
2025-05-19,2495.0
2025-05-20,2470.0
2025-05-23,2480.0
2025-05-24,2430.0
2025-05-26,2440.0
2025-05-27,2480.0
2025-05-28,2485.0
2025-05-29,2475.0
2025-05-30,2495.0
2025-06-02,2490.0
2025-06-03,2505.0
2025-06-04,2475.0
2025-06-05,2490.0
2025-06-10,2480.0
2025-06-11,2440.0
2025-06-14,2425.0
2025-06-16,2391.0
2025-06-17,2395.0
2025-06-20,2440.0
2025-06-21,2485.0
2025-06-23,2450.0
2025-06-24,2480.0
2025-06-25,2450.0
2025-06-26,2460.0
2025-06-28,2500.0
2025-06-30,2495.0
2025-07-01,2480.0
2025-07-02,2505.0
2025-07-03,2435.0
2025-07-04,2470.0
2025-07-07,2480.0
2025-07-08,2465.0
2025-07-09,2500.0
2025-07-11,2495.0
2025-07-12,2470.0
2025-07-14,2450.0
2025-07-15,2490.0
2025-07-16,2510.0
2025-07-18,2530.0
2025-07-22,2540.0
2025-07-23,2565.0
2025-07-24,2590.0
2025-07-25,2590.0
2025-07-29,2605.0
2025-07-30,2610.0
2025-07-31,2575.0
2025-08-05,2560.0
2025-08-06,2620.0
2025-08-19,2610.0
2025-08-21,2650.0
2025-08-22,2690.0
2025-08-25,2690.0
2025-08-26,2690.0
2025-08-27,2695.0
2025-08-28,2675.0
2025-08-29,2670.0
2025-08-30,2680.0
2025-09-01,2695.0
2025-09-02,2640.0
2025-09-03,2680.0
2025-09-04,2665.0
2025-09-05,2660.0
2025-09-06,2690.0
2025-09-08,2690.0
2025-09-09,2660.0
2025-09-10,2720.0
2025-09-11,2740.0
2025-09-12,2705.0
2025-09-17,2655.0
2025-09-18,2745.0
2025-09-20,2655.0
2025-09-22,2680.0
2025-09-23,2700.0
2025-09-24,2650.0
2025-09-25,2675.0
2025-09-29,2480.0
2025-09-30,2645.0
2025-10-01,2620.0
2025-10-03,2670.0
2025-10-04,2650.0
2025-10-08,2650.0
2025-10-09,2627.0
2025-10-11,2610.0
2025-10-13,2645.0
2025-10-14,2545.0
2025-10-15,2565.0
2025-10-16,2575.0
2025-10-28,2540.0
2025-10-29,2570.0
2025-10-30,2550.0
2025-11-01,2580.0
2025-11-03,2560.0
2025-11-04,2570.0
2025-11-05,2545.0
2025-11-08,2500.0
2025-11-10,2525.0
2025-11-11,2540.0
2025-11-12,2540.0
2025-11-13,2560.0
2025-11-14,2560.0
2025-11-17,2550.0
2025-11-18,2565.0
2025-11-19,2525.0
2025-11-20,2515.0
2025-11-21,2575.0
2025-11-22,2560.0
2025-11-24,2590.0
2025-11-25,2545.0
2025-11-26,2510.0
2025-11-27,2495.0
2025-11-28,2525.0
2025-11-29,2560.0
2025-12-02,2475.0
2025-12-03,2515.0
2025-12-04,2500.0
2025-12-05,2510.0
2025-12-06,2475.0
2025-12-08,2450.0
2025-12-09,2465.0
2025-12-10,2465.0
2025-12-11,2460.0
2025-12-12,2460.0
2025-12-13,2455.0
2025-12-15,2455.0
2025-12-16,2460.0
2025-12-17,2465.0
2025-12-18,2455.0
2025-12-19,2470.0
2025-12-23,2555.0
2025-12-24,2555.0
2025-12-25,2545.0
2025-12-27,2500.0
2025-12-29,2460.0
2025-12-30,2530.0
2026-01-02,2515.0
2026-01-03,2520.0
2026-01-05,2505.0
2026-01-06,2520.0
2026-01-07,2510.0
2026-01-08,2475.0
2026-01-09,2475.0
2026-01-10,2490.0
2026-01-12,2510.0
2026-01-13,2460.0
2026-01-16,2515.0
2026-01-17,2480.0
2026-01-19,2505.0
2026-01-20,2530.0
2026-01-21,2500.0
2026-01-22,2530.0
2026-01-27,2470.0
2026-01-28,2465.0
2026-01-29,2465.0
2026-01-30,2470.0
2026-01-31,2495.0
2026-02-02,2475.0
2026-02-03,2440.0
2026-02-04,2450.0
2026-02-05,2450.0
2026-02-06,2480.0
2026-02-07,2490.0
2026-02-09,2380.0
2026-02-11,2425.0
2026-02-12,2390.0
2026-02-13,2450.0
2026-02-14,2480.0
2026-02-16,2415.0
2026-02-17,2465.0
2026-02-18,2435.0
2026-02-19,2455.0
2026-02-20,2365.0
2026-02-21,2470.0
2026-02-24,2410.0
2026-02-25,2275.0
2026-02-26,2415.0
2026-02-27,2380.0
2026-03-04,2315.0
2026-03-06,2240.0
2026-03-09,2195.0
2026-03-11,2315.0
2026-03-13,2350.0
2026-03-14,2230.0
2026-03-17,2215.0
2026-03-19,2200.0
2026-03-23,2245.0
2026-03-24,2345.0
2026-04-02,2250.0
2026-04-03,2325.0
2026-04-06,2375.0
2026-04-07,2395.0
2026-04-08,2390.0
2026-04-10,2325.0
2026-04-11,2400.0
2026-04-13,2350.0
2026-04-14,2340.0
2026-04-15,2335.0
2026-04-16,2350.0
2026-04-17,2225.0
2026-04-18,2350.0
2026-04-20,2235.0
