date,price
2025-01-02,3107.0
2025-01-04,3162.0
2025-01-06,3142.0
2025-01-07,3166.0
2025-01-08,3202.0
2025-01-09,3187.0
2025-01-10,3185.0
2025-01-16,3182.0
2025-01-18,3075.0
2025-01-21,3117.0
2025-01-22,3112.0
2025-01-24,3175.0
2025-01-25,3165.0
2025-01-28,3120.0
2025-01-30,3100.0
2025-02-01,3007.0
2025-02-03,3000.0
2025-02-04,3055.0
2025-02-05,3090.0
2025-02-07,3107.0
2025-02-08,3160.0
2025-02-10,3017.0
2025-02-12,2975.0
2025-02-13,3187.0
2025-02-14,3287.0
2025-02-15,3217.0
2025-02-17,3140.0
2025-02-18,3242.0
2025-02-19,3225.0
2025-02-20,3330.0
2025-02-21,3252.0
2025-02-22,3092.0
2025-02-24,3090.0
2025-02-25,3015.0
2025-02-27,3015.0
2025-02-28,2957.0
2025-03-01,2627.0
2025-03-03,2665.0
2025-03-04,2625.0
2025-03-05,2730.0
2025-03-06,2762.0
2025-03-07,2832.0
2025-03-08,2812.0
2025-03-10,2700.0
2025-03-11,2695.0
2025-03-15,2650.0
2025-03-17,2537.0
2025-03-18,2497.0
2025-03-20,2577.0
2025-03-21,2525.0
2025-03-22,2517.0
2025-03-24,2575.0
2025-03-25,2515.0
2025-03-26,2495.0
2025-04-01,2380.0
2025-04-02,2415.0
2025-04-03,2662.0
2025-04-04,2675.0
2025-04-05,2378.0
2025-04-07,2557.0
2025-04-08,2562.0
2025-04-09,2627.0
2025-04-10,2452.0
2025-04-11,2392.0
2025-04-12,2375.0
2025-04-15,2515.0
2025-04-16,2680.0
2025-04-17,2490.0
2025-04-18,2525.0
2025-04-19,2530.0
2025-04-21,2462.0
2025-04-22,2550.0
2025-04-23,2547.0
2025-04-24,2530.0
2025-04-25,2557.0
2025-04-26,2462.0
2025-04-28,2490.0
2025-05-01,2550.0
2025-05-02,2522.0
2025-05-03,2457.0
2025-05-05,2455.0
2025-05-06,2515.0
2025-05-09,2562.0
2025-05-10,2547.0
2025-05-12,2575.0
2025-05-13,2575.0
2025-05-14,2565.0
2025-05-15,2470.0
2025-05-16,2492.0
2025-05-17,2525.0
2025-05-19,2462.0
2025-05-20,2507.0
2025-05-21,2562.0
2025-05-22,2500.0
2025-05-23,2465.0
2025-05-24,2453.0
2025-05-27,2490.0
2025-05-28,2512.0
2025-05-29,2502.0
2025-05-30,2475.0
2025-05-31,2397.0
2025-06-02,2525.0
2025-06-03,2452.0
2025-06-04,2480.0
2025-06-06,2402.0
2025-06-07,2413.0
2025-06-09,2415.0
2025-06-10,2475.0
2025-06-11,2475.0
2025-06-12,2475.0
2025-06-13,2475.0
2025-06-14,2448.0
2025-06-16,2475.0
2025-06-17,2505.0
2025-06-18,2447.0
2025-06-19,2420.0
2025-06-20,2433.0
2025-06-21,2427.0
2025-06-23,2452.0
2025-06-25,2465.0
2025-06-26,2427.0
2025-07-01,2410.0
2025-07-02,2450.0
2025-07-03,2442.0
2025-07-04,2477.0
2025-07-05,2390.0
2025-07-07,2497.0
2025-07-08,2437.0
2025-07-09,2470.0
2025-07-11,2450.0
2025-07-12,2442.0
2025-07-14,2477.0
2025-07-15,2490.0
2025-07-16,2511.0
2025-07-17,2552.0
2025-07-18,2447.0
2025-07-22,2560.0
2025-07-23,2550.0
2025-07-24,2577.0
2025-07-25,2637.0
2025-07-26,2615.0
2025-07-28,2595.0
2025-07-29,2600.0
2025-07-30,2650.0
2025-07-31,2587.0
2025-08-01,2587.0
2025-08-02,2540.0
2025-08-04,2600.0
2025-08-05,2580.0
2025-08-06,2595.0
2025-08-07,2566.0
2025-08-08,2627.0
2025-08-11,2602.0
2025-08-12,2605.0
2025-08-13,2600.0
2025-08-14,2580.0
2025-08-18,2611.0
2025-08-19,2601.0
2025-08-21,2650.0
2025-08-22,2620.0
2025-08-23,2638.0
2025-08-25,2627.0
2025-08-26,2635.0
2025-08-28,2640.0
2025-08-29,2630.0
2025-08-30,2637.0
2025-09-01,2672.0
2025-09-02,2668.0
2025-09-03,2677.0
2025-09-04,2681.0
2025-09-05,2705.0
2025-09-06,2670.0
2025-09-08,2700.0
2025-09-09,2755.0
2025-09-10,2737.0
2025-09-11,2716.0
2025-09-12,2708.0
2025-09-13,2720.0
2025-09-15,2662.0
2025-09-16,2658.0
2025-09-17,2657.0
2025-09-18,2647.0
2025-09-19,2680.0
2025-09-20,2665.0
2025-09-22,2652.0
2025-09-23,2607.0
2025-09-24,2627.0
2025-09-25,2650.0
2025-09-26,2652.0
2025-09-27,2592.0
2025-09-29,2600.0
2025-10-01,2530.0
2025-10-03,2588.0
2025-10-04,2542.0
2025-10-06,2595.0
2025-10-08,2600.0
2025-10-09,2587.0
2025-10-11,2602.0
2025-10-13,2587.0
2025-10-14,2595.0
2025-10-15,2575.0
2025-10-16,2570.0
2025-10-17,2507.0
2025-10-29,2562.0
2025-10-30,2490.0
2025-11-01,2522.0
2025-11-03,2602.0
2025-11-04,2547.0
2025-11-06,2507.0
2025-11-07,2570.0
2025-11-08,2525.0
2025-11-10,2560.0
2025-11-12,2456.0
2025-11-13,2557.0
2025-11-14,2527.0
2025-11-15,2505.0
2025-11-18,2555.0
2025-11-19,2523.0
2025-11-20,2457.0
2025-11-21,2547.0
2025-11-22,2537.0
2025-11-24,2475.0
2025-11-25,2505.0
2025-11-26,2455.0
2025-11-27,2450.0
2025-11-28,2462.0
2025-11-29,2415.0
2025-12-01,2545.0
2025-12-02,2500.0
2025-12-03,2525.0
2025-12-04,2492.0
2025-12-05,2495.0
2025-12-06,2507.0
2025-12-08,2532.0
2025-12-09,2585.0
2025-12-10,2451.0
2025-12-11,2500.0
2025-12-12,2493.0
2025-12-13,2517.0
2025-12-15,2502.0
2025-12-16,2550.0
2025-12-17,2562.0
2025-12-18,2587.0
2025-12-19,2587.0
2025-12-20,2562.0
2025-12-22,2610.0
2025-12-23,2520.0
2025-12-24,2442.0
2025-12-25,2483.0
2025-12-26,2512.0
2025-12-27,2507.0
2025-12-29,2502.0
2025-12-30,2562.0
2025-12-31,2542.0
2026-01-01,2525.0
2026-01-02,2512.0
2026-01-03,2605.0
2026-01-05,2587.0
2026-01-06,2626.0
2026-01-07,2630.0
2026-01-08,2597.0
2026-01-09,2562.0
2026-01-10,2627.0
2026-01-12,2692.0
2026-01-13,2655.0
2026-01-16,2693.0
2026-01-17,2710.0
2026-01-19,2712.0
2026-01-20,2725.0
2026-01-21,2691.0
2026-01-22,2720.0
2026-01-24,2580.0
2026-01-27,2557.0
2026-01-28,2578.0
2026-01-29,2535.0
2026-01-30,2580.0
2026-01-31,2563.0
2026-02-02,2561.0
2026-02-03,2602.0
2026-02-04,2560.0
2026-02-05,2527.0
2026-02-06,2517.0
2026-02-07,2543.0
2026-02-09,2513.0
2026-02-10,2577.0
2026-02-11,2507.0
2026-02-12,2526.0
2026-02-13,2495.0
2026-02-16,2428.0
2026-02-17,2450.0
2026-02-18,2450.0
2026-02-19,2436.0
2026-02-20,2452.0
2026-02-21,2475.0
2026-02-23,2466.0
2026-02-24,2485.0
2026-02-25,2392.0
2026-02-26,2395.0
2026-02-27,2385.0
2026-02-28,2360.0
2026-03-02,2362.0
2026-03-05,2277.0
2026-03-06,2375.0
2026-03-07,2267.0
2026-03-09,2367.0
2026-03-10,2302.0
2026-03-11,2395.0
2026-03-12,2230.0
2026-03-13,2252.0
2026-03-14,2258.0
2026-03-16,2210.0
2026-03-17,2197.0
2026-03-18,2477.0
2026-03-19,2277.0
2026-03-20,2312.0
2026-03-21,2345.0
2026-03-23,2335.0
2026-03-24,2357.0
2026-04-02,2270.0
2026-04-03,2375.0
2026-04-06,2402.0
2026-04-07,2527.0
2026-04-08,2277.0
2026-04-09,2425.0
2026-04-10,2377.0
2026-04-13,2402.0
2026-04-15,2320.0
2026-04-16,2327.0
2026-04-17,2300.0
2026-04-18,2340.0
2026-04-20,2482.0
2026-04-21,2275.0
2026-04-22,2362.0
2026-04-23,2402.0
2026-04-24,2417.0
2026-04-25,2325.0
2026-04-27,2520.0
2026-04-28,2312.0
2026-04-29,2480.0
2026-04-30,2467.0
2026-05-01,2252.0
2026-05-02,2227.0
2026-05-04,2325.0
2026-05-05,2252.0
2026-05-06,2215.0
2026-05-07,2312.0
2026-05-08,2250.0
2026-05-09,2465.0
2026-05-11,2302.0
2026-05-12,2377.0
2026-05-13,2250.0
2026-05-14,2267.0
2026-05-15,2265.0
2026-05-16,2282.0
2026-05-18,2232.0
2026-05-19,2235.0
2026-05-20,2320.0
