date,price
2025-01-03,2750.0
2025-01-04,2750.0
2025-01-06,2750.0
2025-01-08,2900.0
2025-01-11,2800.0
2025-01-13,2750.0
2025-01-15,2850.0
2025-01-17,2850.0
2025-01-21,2800.0
2025-01-22,2850.0
2025-01-23,2850.0
2025-01-27,2800.0
2025-01-29,2850.0
2025-01-30,2850.0
2025-02-03,2750.0
2025-02-04,2750.0
2025-02-05,2750.0
2025-02-07,2750.0
2025-02-12,2800.0
2025-02-13,2850.0
2025-02-14,2900.0
2025-02-15,2900.0
2025-02-17,2850.0
2025-02-18,2900.0
2025-02-24,2750.0
2025-02-27,2800.0
2025-02-28,2750.0
2025-03-01,2550.0
2025-03-03,2550.0
2025-03-04,2600.0
2025-03-05,2600.0
2025-03-06,2600.0
2025-03-08,2550.0
2025-03-10,2500.0
2025-03-11,2500.0
2025-03-12,2450.0
2025-03-13,2400.0
2025-03-15,2500.0
2025-03-17,2450.0
2025-03-18,2500.0
2025-03-19,2500.0
2025-03-20,2500.0
2025-03-21,2500.0
2025-03-22,2500.0
2025-03-24,2525.0
2025-03-26,2450.0
2025-03-27,2500.0
2025-03-28,2500.0
2025-03-29,2500.0
2025-03-31,2500.0
2025-04-01,2500.0
2025-04-02,2500.0
2025-04-03,2500.0
2025-04-04,2500.0
2025-04-05,2500.0
2025-04-07,2500.0
2025-04-08,2500.0
2025-04-09,2500.0
2025-04-11,2500.0
2025-04-12,2450.0
2025-04-15,2500.0
2025-04-16,2550.0
2025-04-17,2500.0
2025-04-18,2500.0
2025-04-19,2500.0
2025-04-21,2500.0
2025-04-22,2500.0
2025-04-23,2500.0
2025-04-24,2525.0
2025-04-25,2500.0
2025-04-28,2500.0
2025-04-29,2500.0
2025-04-30,2500.0
2025-05-01,2480.0
2025-05-02,2500.0
2025-05-03,2500.0
2025-05-05,2490.0
2025-05-06,2500.0
2025-05-07,2450.0
2025-05-10,2500.0
2025-05-14,2500.0
2025-05-15,2500.0
2025-05-16,2500.0
2025-05-17,2500.0
2025-05-19,2500.0
2025-05-20,2550.0
2025-05-21,2500.0
2025-05-22,2500.0
2025-05-23,2500.0
2025-05-26,2500.0
2025-05-27,2500.0
2025-05-28,2500.0
2025-05-29,2500.0
2025-05-30,2500.0
2025-06-02,2500.0
