date,price
2025-01-02,2812.0
2025-01-03,2812.0
2025-01-04,2812.0
2025-01-06,2812.0
2025-01-07,2812.0
2025-01-08,2812.0
2025-01-09,2812.0
2025-01-10,2812.0
2025-01-11,2812.0
2025-01-13,2812.0
2025-01-15,2850.0
2025-01-16,2850.0
2025-01-17,2850.0
2025-01-20,2850.0
2025-01-21,2850.0
2025-01-22,2850.0
2025-01-23,2850.0
2025-01-24,2850.0
2025-01-27,2850.0
2025-01-28,2850.0
2025-01-29,2850.0
2025-01-30,2850.0
2025-01-31,2850.0
2025-02-03,2850.0
2025-02-04,2850.0
2025-02-05,2850.0
2025-02-06,2850.0
2025-02-07,2850.0
2025-02-10,2850.0
2025-02-11,2850.0
2025-02-12,2850.0
2025-02-14,2850.0
2025-02-17,2850.0
2025-02-19,2812.0
2025-02-20,2812.0
2025-02-21,2812.0
2025-02-24,2812.0
2025-02-27,2812.0
2025-02-28,2812.0
2025-03-01,2625.0
2025-03-03,2625.0
2025-03-04,2625.0
2025-03-05,2525.0
2025-03-06,2525.0
2025-03-07,2525.0
2025-03-08,2525.0
2025-03-10,2525.0
2025-03-11,2525.0
2025-03-12,2525.0
2025-03-15,2475.0
2025-03-17,2475.0
2025-03-18,2475.0
2025-03-19,2475.0
2025-03-20,2475.0
2025-03-21,2475.0
2025-03-22,2475.0
2025-03-24,2475.0
2025-03-25,2475.0
2025-03-26,2412.0
2025-03-27,2412.0
2025-03-28,2412.0
2025-04-01,2412.0
2025-04-02,2411.0
2025-04-03,2412.0
2025-04-04,2362.0
2025-04-05,2362.0
2025-04-07,2412.0
2025-04-08,2412.0
2025-04-09,2412.0
2025-04-11,2412.0
2025-04-12,2412.0
2025-04-14,2412.0
2025-04-15,2425.0
2025-04-16,2425.0
2025-04-17,2425.0
2025-04-18,2425.0
2025-04-19,2425.0
2025-04-21,2425.0
2025-04-22,2412.0
2025-04-23,2412.0
2025-04-24,2412.0
2025-04-26,2412.0
2025-04-28,2412.0
2025-04-30,2412.0
2025-05-01,2412.0
2025-05-02,2412.0
2025-05-03,2412.0
2025-05-05,2412.0
2025-05-06,2412.0
2025-05-07,2412.0
2025-05-08,2422.0
2025-05-09,2425.0
2025-05-10,2425.0
2025-05-12,2425.0
2025-05-13,2425.0
2025-05-14,2425.0
2025-05-15,2425.0
2025-05-16,2425.0
2025-05-17,2425.0
2025-05-19,2425.0
2025-05-20,2425.0
2025-05-21,2425.0
2025-05-22,2425.0
2025-05-23,2475.0
2025-05-24,2475.0
2025-05-28,2475.0
2025-05-29,2475.0
2025-05-30,2475.0
2025-05-31,2475.0
2025-06-02,2425.0
2025-06-03,2425.0
2025-06-04,2425.0
2025-06-05,2425.0
2025-06-06,2425.0
2025-06-07,2425.0
2025-06-09,2425.0
2025-06-10,2425.0
2025-06-11,2425.0
2025-06-12,2425.0
2025-06-13,2425.0
2025-06-14,2425.0
2025-06-16,2425.0
2025-06-17,2425.0
2025-06-18,2425.0
2025-06-19,2425.0
2025-06-20,2425.0
2025-06-21,2425.0
2025-06-23,2425.0
2025-06-24,2425.0
2025-06-25,2425.0
2025-06-26,2425.0
2025-06-27,2425.0
2025-06-28,2425.0
2025-06-30,2425.0
2025-07-01,2425.0
2025-07-02,2425.0
2025-07-03,2425.0
2025-07-04,2425.0
2025-07-05,2425.0
2025-07-08,2425.0
2025-07-09,2425.0
2025-07-10,2425.0
2025-07-11,2425.0
2025-07-12,2425.0
2025-07-14,2475.0
2025-07-15,2475.0
2025-07-16,2475.0
2025-07-17,2475.0
2025-07-18,2475.0
2025-07-19,2475.0
2025-07-21,2475.0
2025-07-22,2475.0
2025-07-23,2475.0
2025-07-25,2475.0
2025-07-26,2475.0
2025-07-28,2475.0
2025-07-29,2550.0
2025-07-30,2550.0
2025-07-31,2550.0
2025-08-01,2525.0
2025-08-02,2525.0
2025-08-04,2525.0
2025-08-05,2525.0
2025-08-06,2525.0
2025-08-07,2525.0
2025-08-08,2525.0
2025-08-09,2525.0
2025-08-11,2525.0
2025-08-12,2525.0
2025-08-13,2525.0
2025-08-14,2525.0
2025-08-18,2525.0
2025-08-19,2525.0
2025-08-20,2375.0
2025-08-21,2525.0
2025-08-22,2550.0
2025-08-23,2550.0
2025-08-25,2550.0
2025-08-26,2550.0
2025-08-28,2550.0
2025-08-29,2550.0
2025-08-30,2550.0
2025-09-01,2550.0
2025-09-02,2550.0
2025-09-03,2550.0
2025-09-04,2550.0
2025-09-06,2550.0
2025-09-08,2550.0
2025-09-09,2550.0
2025-09-10,2550.0
2025-09-11,2550.0
2025-09-12,2550.0
2025-09-13,2550.0
2025-09-15,2550.0
2025-09-16,2550.0
2025-09-18,2550.0
2025-09-19,2550.0
2025-09-20,2550.0
2025-09-22,2550.0
2025-09-23,2550.0
2025-09-24,2550.0
2025-09-25,2550.0
2025-09-26,2550.0
2025-09-27,2550.0
2025-09-29,2550.0
2025-09-30,2550.0
2025-10-01,2550.0
2025-10-03,2550.0
2025-10-04,2550.0
2025-10-06,2550.0
2025-10-07,2550.0
2025-10-08,2550.0
2025-10-09,2550.0
2025-10-10,2550.0
2025-10-11,2550.0
2025-10-14,2550.0
2025-10-15,2550.0
2025-10-16,2550.0
2025-10-17,2475.0
2025-10-27,2525.0
2025-10-28,2525.0
2025-10-29,2525.0
2025-10-30,2525.0
2025-11-03,2525.0
